Iterations,Markets visited,runtimes,population_size
4000.0,16.0,29.95878,50.0
4000.0,16.0,31.420952,50.0
4000.0,16.0,30.394605,50.0
4000.0,16.0,31.093285,50.0
1.0,12.0,0.011641,100.0
1.0,11.0,0.011421,100.0
1.0,12.0,0.009661,100.0
1.0,12.0,0.014551,100.0
1.0,11.0,0.013356,100.0
1.0,12.0,0.013441,100.0
1.0,12.0,0.013504,100.0
1.0,12.0,0.013127,100.0
1.0,11.0,0.012915,100.0
1.0,11.0,0.015931,100.0
2.0,12.0,0.030451,100.0
2.0,12.0,0.021861,100.0
2.0,12.0,0.025543,100.0
2.0,14.0,0.027853,100.0
2.0,11.0,0.028541,100.0
2.0,11.0,0.030475,100.0
2.0,11.0,0.026939,100.0
2.0,12.0,0.027077,100.0
2.0,11.0,0.01999,100.0
2.0,13.0,0.028906,100.0
3.0,12.0,0.038884,100.0
3.0,13.0,0.04164,100.0
3.0,12.0,0.043498,100.0
3.0,12.0,0.05043,100.0
3.0,12.0,0.046125,100.0
3.0,12.0,0.042663,100.0
3.0,13.0,0.043112,100.0
3.0,12.0,0.042998,100.0
3.0,11.0,0.044418,100.0
3.0,12.0,0.064298,100.0
4.0,11.0,0.057221,100.0
4.0,12.0,0.055986,100.0
4.0,12.0,0.043331,100.0
4.0,13.0,0.055093,100.0
4.0,12.0,0.053514,100.0
4.0,14.0,0.06134,100.0
4.0,12.0,0.05703,100.0
4.0,13.0,0.054342,100.0
4.0,13.0,0.066486,100.0
4.0,12.0,0.055125,100.0
5.0,13.0,0.073926,100.0
5.0,13.0,0.072082,100.0
5.0,13.0,0.063843,100.0
5.0,12.0,0.063258,100.0
5.0,12.0,0.075949,100.0
5.0,13.0,0.074819,100.0
5.0,13.0,0.071141,100.0
5.0,12.0,0.091396,100.0
5.0,13.0,0.066771,100.0
5.0,12.0,0.082589,100.0
6.0,13.0,0.095507,100.0
6.0,12.0,0.140614,100.0
6.0,13.0,0.093782,100.0
6.0,13.0,0.090707,100.0
6.0,13.0,0.076041,100.0
6.0,13.0,0.110439,100.0
6.0,13.0,0.09737,100.0
6.0,13.0,0.127541,100.0
6.0,12.0,0.100804,100.0
6.0,13.0,0.086679,100.0
7.0,12.0,0.157361,100.0
7.0,14.0,0.100638,100.0
7.0,13.0,0.128575,100.0
7.0,12.0,0.096732,100.0
7.0,14.0,0.113499,100.0
7.0,12.0,0.096766,100.0
7.0,13.0,0.121523,100.0
7.0,14.0,0.10813,100.0
7.0,13.0,0.095455,100.0
7.0,13.0,0.108769,100.0
9.0,13.0,0.144806,100.0
9.0,13.0,0.135583,100.0
9.0,13.0,0.130057,100.0
9.0,14.0,0.20777,100.0
9.0,13.0,0.157211,100.0
9.0,13.0,0.129916,100.0
9.0,13.0,0.125444,100.0
9.0,15.0,0.130638,100.0
9.0,14.0,0.128218,100.0
9.0,14.0,0.159695,100.0
10.0,14.0,0.149162,100.0
10.0,14.0,0.20547,100.0
10.0,13.0,0.236208,100.0
10.0,13.0,0.166096,100.0
10.0,13.0,0.162325,100.0
10.0,14.0,0.132084,100.0
10.0,14.0,0.145857,100.0
10.0,14.0,0.158664,100.0
10.0,14.0,0.155726,100.0
10.0,13.0,0.177999,100.0
12.0,13.0,0.185516,100.0
12.0,14.0,0.226589,100.0
12.0,13.0,0.18499,100.0
12.0,14.0,0.187324,100.0
12.0,15.0,0.216896,100.0
12.0,14.0,0.189519,100.0
12.0,14.0,0.217246,100.0
12.0,14.0,0.162044,100.0
12.0,13.0,0.202043,100.0
12.0,13.0,0.186125,100.0
15.0,15.0,0.259189,100.0
15.0,14.0,0.28307,100.0
15.0,14.0,0.227287,100.0
15.0,14.0,0.226492,100.0
15.0,14.0,0.233935,100.0
15.0,15.0,0.246369,100.0
15.0,15.0,0.287404,100.0
15.0,14.0,0.257235,100.0
15.0,14.0,0.22872,100.0
15.0,14.0,0.273322,100.0
17.0,14.0,0.281162,100.0
17.0,14.0,0.285402,100.0
17.0,14.0,0.30982,100.0
17.0,14.0,0.327224,100.0
17.0,13.0,0.288838,100.0
17.0,14.0,0.303809,100.0
17.0,14.0,0.263302,100.0
17.0,15.0,0.309686,100.0
17.0,14.0,0.270429,100.0
17.0,15.0,0.250624,100.0
21.0,14.0,0.318704,100.0
21.0,15.0,0.308588,100.0
21.0,15.0,0.323526,100.0
21.0,15.0,0.362511,100.0
21.0,14.0,0.323942,100.0
21.0,14.0,0.386446,100.0
21.0,14.0,0.366711,100.0
21.0,15.0,0.371566,100.0
21.0,15.0,0.338806,100.0
21.0,15.0,0.357155,100.0
24.0,15.0,0.432306,100.0
24.0,15.0,0.389395,100.0
24.0,16.0,0.473531,100.0
24.0,15.0,0.405865,100.0
24.0,16.0,0.382449,100.0
24.0,15.0,0.416065,100.0
24.0,15.0,0.404807,100.0
24.0,15.0,0.449706,100.0
24.0,14.0,0.384154,100.0
24.0,14.0,0.377469,100.0
29.0,15.0,0.5498,100.0
29.0,16.0,0.501469,100.0
29.0,16.0,0.538681,100.0
29.0,15.0,0.474309,100.0
29.0,15.0,0.500307,100.0
29.0,15.0,0.574938,100.0
29.0,14.0,0.487403,100.0
29.0,15.0,0.522868,100.0
29.0,16.0,0.547556,100.0
29.0,15.0,0.480002,100.0
34.0,15.0,0.554487,100.0
34.0,15.0,0.598505,100.0
34.0,16.0,0.567802,100.0
34.0,15.0,0.575226,100.0
34.0,17.0,0.561319,100.0
34.0,15.0,0.683828,100.0
34.0,15.0,0.571637,100.0
34.0,15.0,0.628677,100.0
34.0,15.0,0.615036,100.0
34.0,16.0,0.62026,100.0
41.0,16.0,0.734515,100.0
41.0,16.0,0.665912,100.0
41.0,16.0,0.748444,100.0
41.0,16.0,0.683134,100.0
41.0,16.0,0.692091,100.0
41.0,15.0,0.651106,100.0
41.0,15.0,0.693109,100.0
41.0,16.0,0.678508,100.0
41.0,16.0,0.631751,100.0
41.0,16.0,0.858196,100.0
49.0,17.0,0.748509,100.0
49.0,16.0,0.858413,100.0
49.0,16.0,0.805336,100.0
49.0,15.0,0.782547,100.0
49.0,16.0,0.626178,100.0
49.0,15.0,0.83987,100.0
49.0,16.0,0.753835,100.0
49.0,15.0,0.851044,100.0
49.0,17.0,0.779859,100.0
49.0,16.0,0.784157,100.0
58.0,16.0,0.765225,100.0
58.0,16.0,0.940053,100.0
58.0,16.0,1.040316,100.0
58.0,17.0,0.856794,100.0
58.0,16.0,0.932732,100.0
58.0,16.0,0.944678,100.0
58.0,16.0,1.048012,100.0
58.0,15.0,1.023964,100.0
58.0,17.0,0.936633,100.0
58.0,17.0,0.962364,100.0
68.0,17.0,1.127697,100.0
68.0,16.0,1.123482,100.0
68.0,17.0,1.011036,100.0
68.0,16.0,1.127537,100.0
68.0,16.0,1.13085,100.0
68.0,17.0,1.081089,100.0
68.0,16.0,1.128421,100.0
68.0,17.0,1.158386,100.0
68.0,17.0,1.1451,100.0
68.0,17.0,1.139265,100.0
81.0,17.0,1.487944,100.0
81.0,16.0,1.516041,100.0
81.0,16.0,1.591096,100.0
81.0,16.0,1.428974,100.0
81.0,16.0,1.531172,100.0
81.0,16.0,1.475865,100.0
81.0,16.0,1.494566,100.0
81.0,16.0,1.336082,100.0
81.0,17.0,1.473832,100.0
81.0,16.0,1.396217,100.0
96.0,16.0,1.570885,100.0
96.0,17.0,1.741115,100.0
96.0,16.0,1.605888,100.0
96.0,18.0,1.894851,100.0
96.0,18.0,1.721516,100.0
96.0,16.0,1.725467,100.0
96.0,17.0,1.731998,100.0
96.0,18.0,1.632813,100.0
96.0,16.0,1.743474,100.0
96.0,17.0,2.032532,100.0
114.0,16.0,2.042336,100.0
114.0,16.0,1.943326,100.0
114.0,17.0,2.130567,100.0
114.0,16.0,2.257896,100.0
114.0,17.0,2.070659,100.0
114.0,17.0,2.324415,100.0
114.0,18.0,2.17538,100.0
114.0,17.0,2.051848,100.0
114.0,16.0,1.99569,100.0
114.0,16.0,2.278719,100.0
135.0,16.0,2.205784,100.0
135.0,17.0,2.377038,100.0
135.0,16.0,2.137325,100.0
135.0,17.0,2.391893,100.0
135.0,16.0,2.396568,100.0
135.0,16.0,2.331633,100.0
135.0,17.0,2.32661,100.0
135.0,17.0,2.627425,100.0
135.0,16.0,2.416317,100.0
135.0,16.0,2.650284,100.0
160.0,17.0,2.857679,100.0
160.0,17.0,2.814476,100.0
160.0,17.0,2.907492,100.0
160.0,17.0,2.83545,100.0
160.0,16.0,2.732571,100.0
160.0,18.0,2.821478,100.0
160.0,16.0,2.800807,100.0
160.0,17.0,2.867974,100.0
160.0,17.0,2.782825,100.0
160.0,17.0,2.815724,100.0
190.0,17.0,3.423027,100.0
190.0,15.0,3.309528,100.0
190.0,16.0,3.375668,100.0
190.0,15.0,3.241185,100.0
190.0,17.0,3.236149,100.0
190.0,17.0,3.517161,100.0
190.0,17.0,3.182085,100.0
190.0,17.0,3.223168,100.0
190.0,16.0,3.47199,100.0
190.0,17.0,3.220166,100.0
225.0,17.0,3.849536,100.0
225.0,17.0,4.034547,100.0
225.0,16.0,3.779114,100.0
225.0,17.0,3.933363,100.0
225.0,16.0,4.072884,100.0
225.0,16.0,4.093007,100.0
225.0,17.0,3.863232,100.0
225.0,16.0,3.973425,100.0
225.0,17.0,4.057739,100.0
225.0,16.0,3.90223,100.0
266.0,16.0,4.521933,100.0
266.0,17.0,4.52812,100.0
266.0,17.0,4.727881,100.0
266.0,17.0,4.618051,100.0
266.0,16.0,4.225364,100.0
266.0,17.0,4.938212,100.0
266.0,15.0,4.319297,100.0
266.0,17.0,4.522935,100.0
266.0,17.0,4.704264,100.0
266.0,16.0,4.533558,100.0
315.0,17.0,5.721788,100.0
315.0,17.0,5.65176,100.0
315.0,16.0,5.246629,100.0
315.0,18.0,5.585012,100.0
315.0,18.0,5.552586,100.0
315.0,17.0,5.495382,100.0
315.0,17.0,5.523672,100.0
315.0,18.0,5.594686,100.0
315.0,18.0,5.799854,100.0
315.0,16.0,5.422532,100.0
374.0,18.0,7.201153,100.0
374.0,16.0,6.966133,100.0
374.0,17.0,6.875362,100.0
374.0,17.0,7.091672,100.0
374.0,17.0,7.313193,100.0
374.0,17.0,6.532862,100.0
374.0,17.0,6.814054,100.0
374.0,17.0,7.358357,100.0
374.0,17.0,6.729626,100.0
374.0,18.0,6.934829,100.0
443.0,17.0,7.923299,100.0
443.0,18.0,8.36867,100.0
443.0,17.0,8.529836,100.0
443.0,16.0,7.872979,100.0
443.0,17.0,7.839349,100.0
443.0,17.0,7.553076,100.0
443.0,17.0,8.000286,100.0
443.0,16.0,7.981778,100.0
443.0,16.0,7.660726,100.0
443.0,17.0,7.728224,100.0
524.0,17.0,9.354609,100.0
524.0,17.0,9.17,100.0
524.0,16.0,9.157012,100.0
524.0,16.0,8.964852,100.0
524.0,17.0,9.301735,100.0
524.0,17.0,9.381741,100.0
524.0,17.0,9.664926,100.0
524.0,17.0,9.821696,100.0
524.0,17.0,9.297911,100.0
524.0,17.0,9.391421,100.0
621.0,17.0,10.281883,100.0
621.0,18.0,10.65485,100.0
621.0,17.0,10.615745,100.0
621.0,16.0,10.764743,100.0
621.0,18.0,10.465568,100.0
621.0,17.0,10.626854,100.0
621.0,17.0,10.841644,100.0
621.0,17.0,10.173656,100.0
621.0,16.0,10.107632,100.0
621.0,17.0,10.550572,100.0
736.0,17.0,12.821469,100.0
736.0,17.0,11.805065,100.0
736.0,18.0,12.67463,100.0
736.0,17.0,12.688992,100.0
736.0,17.0,12.471096,100.0
736.0,17.0,12.689815,100.0
736.0,17.0,13.071389,100.0
736.0,17.0,12.952945,100.0
736.0,17.0,12.193845,100.0
736.0,16.0,12.140561,100.0
871.0,18.0,15.50453,100.0
871.0,18.0,15.14149,100.0
871.0,17.0,14.111417,100.0
871.0,18.0,14.904576,100.0
871.0,17.0,14.817561,100.0
871.0,17.0,15.164233,100.0
871.0,17.0,14.426977,100.0
871.0,17.0,15.4518,100.0
871.0,17.0,14.945612,100.0
871.0,16.0,14.696603,100.0
1032.0,18.0,17.989971,100.0
1032.0,17.0,17.468817,100.0
1032.0,17.0,18.196373,100.0
1032.0,17.0,17.903149,100.0
1032.0,18.0,18.885236,100.0
1032.0,17.0,17.404064,100.0
1032.0,17.0,17.465356,100.0
1032.0,17.0,17.97593,100.0
1032.0,17.0,19.005108,100.0
1032.0,17.0,17.782999,100.0
1223.0,18.0,21.711986,100.0
1223.0,19.0,22.061605,100.0
1223.0,18.0,22.066794,100.0
1223.0,18.0,20.433959,100.0
1223.0,17.0,21.244224,100.0
1223.0,18.0,19.626368,100.0
1223.0,17.0,19.588943,100.0
1223.0,17.0,19.972961,100.0
1223.0,17.0,19.630309,100.0
1223.0,17.0,20.443231,100.0
1448.0,17.0,23.153142,100.0
1448.0,17.0,23.715322,100.0
1448.0,17.0,23.389244,100.0
