Iterations,Markets visited,runtimes,population_size
443.0,15.0,3.34295,50.0
443.0,16.0,3.472764,50.0
443.0,15.0,3.448488,50.0
443.0,17.0,3.670084,50.0
443.0,17.0,3.641336,50.0
443.0,17.0,3.675516,50.0
524.0,17.0,3.538575,50.0
524.0,17.0,4.268292,50.0
524.0,17.0,4.204014,50.0
524.0,16.0,3.282823,50.0
524.0,17.0,4.356428,50.0
524.0,17.0,4.24841,50.0
524.0,17.0,4.288153,50.0
524.0,16.0,3.856507,50.0
524.0,17.0,4.089123,50.0
524.0,17.0,4.273539,50.0
621.0,16.0,4.899395,50.0
621.0,17.0,4.842471,50.0
621.0,17.0,5.18078,50.0
621.0,17.0,4.806926,50.0
621.0,17.0,5.121437,50.0
621.0,17.0,5.258004,50.0
621.0,17.0,5.236246,50.0
621.0,16.0,4.757158,50.0
621.0,17.0,4.555501,50.0
621.0,16.0,4.948616,50.0
736.0,16.0,6.008726,50.0
736.0,17.0,5.923189,50.0
736.0,16.0,5.687867,50.0
736.0,18.0,6.071156,50.0
736.0,16.0,5.678608,50.0
736.0,17.0,5.995796,50.0
736.0,17.0,6.01215,50.0
736.0,17.0,6.037497,50.0
736.0,17.0,6.29485,50.0
736.0,17.0,6.000846,50.0
871.0,17.0,7.16886,50.0
871.0,17.0,7.108443,50.0
871.0,17.0,6.671841,50.0
871.0,17.0,6.621008,50.0
871.0,17.0,7.10757,50.0
871.0,15.0,6.498302,50.0
871.0,17.0,7.372984,50.0
871.0,16.0,7.055535,50.0
871.0,17.0,7.419331,50.0
871.0,16.0,7.086071,50.0
1032.0,17.0,7.58479,50.0
1032.0,17.0,8.581261,50.0
1032.0,16.0,8.174462,50.0
1032.0,16.0,8.266834,50.0
1032.0,16.0,8.308057,50.0
1032.0,15.0,8.04151,50.0
1032.0,17.0,8.661806,50.0
1032.0,17.0,8.24687,50.0
1032.0,16.0,8.576754,50.0
1032.0,17.0,8.457424,50.0
1223.0,15.0,9.409644,50.0
1223.0,17.0,9.68484,50.0
1223.0,17.0,10.203615,50.0
1223.0,18.0,9.097955,50.0
1223.0,16.0,9.881976,50.0
1223.0,17.0,10.68142,50.0
1223.0,17.0,10.162744,50.0
1223.0,16.0,9.970151,50.0
1223.0,16.0,8.248404,50.0
1223.0,17.0,10.169874,50.0
1448.0,17.0,11.930015,50.0
1448.0,17.0,12.549307,50.0
1448.0,17.0,11.673531,50.0
1448.0,16.0,11.427805,50.0
1448.0,17.0,11.959644,50.0
1448.0,16.0,11.499667,50.0
1448.0,17.0,12.228359,50.0
1448.0,16.0,10.10252,50.0
1448.0,16.0,11.64629,50.0
1448.0,16.0,11.78522,50.0
1715.0,16.0,13.149976,50.0
1715.0,18.0,14.913991,50.0
1715.0,18.0,14.074807,50.0
1715.0,18.0,13.811399,50.0
1715.0,16.0,14.122358,50.0
1715.0,16.0,14.066122,50.0
1715.0,18.0,13.737135,50.0
1715.0,16.0,13.38042,50.0
1715.0,16.0,13.16267,50.0
1715.0,17.0,14.28926,50.0
2032.0,17.0,16.899281,50.0
2032.0,17.0,16.130706,50.0
2032.0,17.0,16.562569,50.0
2032.0,18.0,17.191075,50.0
2032.0,17.0,16.76775,50.0
2032.0,17.0,16.505901,50.0
2032.0,17.0,17.130118,50.0
2032.0,17.0,17.249594,50.0
2032.0,17.0,17.278352,50.0
2032.0,17.0,16.750948,50.0
2407.0,17.0,21.141041,50.0
2407.0,17.0,20.298494,50.0
2407.0,17.0,20.382945,50.0
2407.0,17.0,19.559454,50.0
2407.0,17.0,20.170882,50.0
2407.0,17.0,21.13765,50.0
2407.0,17.0,18.824,50.0
2407.0,17.0,20.55627,50.0
2407.0,17.0,21.168641,50.0
2407.0,17.0,20.691611,50.0
2851.0,17.0,23.440656,50.0
2851.0,17.0,23.649793,50.0
2851.0,17.0,22.815216,50.0
2851.0,17.0,23.917071,50.0
2851.0,17.0,23.543897,50.0
2851.0,17.0,23.79627,50.0
2851.0,17.0,23.117909,50.0
2851.0,17.0,22.118157,50.0
2851.0,17.0,22.464967,50.0
2851.0,17.0,23.196813,50.0
3377.0,16.0,27.106024,50.0
3377.0,16.0,26.31849,50.0
3377.0,16.0,27.48447,50.0
3377.0,16.0,27.866161,50.0
3377.0,16.0,27.905474,50.0
3377.0,19.0,27.686234,50.0
3377.0,19.0,28.664793,50.0
3377.0,19.0,27.940875,50.0
3377.0,19.0,28.510591,50.0
3377.0,19.0,27.762288,50.0
4000.0,19.0,33.535615,50.0
4000.0,19.0,32.467564,50.0
4000.0,19.0,33.24178,50.0
4000.0,19.0,31.168275,50.0
4000.0,19.0,31.991337,50.0
4000.0,19.0,33.063134,50.0
4000.0,19.0,33.709649,50.0
4000.0,19.0,31.922777,50.0
4000.0,19.0,33.694414,50.0
4000.0,19.0,33.491019,50.0
1.0,10.0,0.009518,100.0
1.0,11.0,0.011886,100.0
1.0,12.0,0.012793,100.0
1.0,11.0,0.013179,100.0
1.0,11.0,0.013354,100.0
1.0,11.0,0.010085,100.0
1.0,11.0,0.011153,100.0
1.0,11.0,0.01215,100.0
1.0,12.0,0.012481,100.0
1.0,11.0,0.011364,100.0
2.0,11.0,0.020564,100.0
2.0,12.0,0.017588,100.0
2.0,12.0,0.025589,100.0
2.0,11.0,0.025266,100.0
2.0,12.0,0.027,100.0
2.0,12.0,0.024818,100.0
2.0,13.0,0.026785,100.0
2.0,12.0,0.024013,100.0
2.0,12.0,0.025866,100.0
2.0,13.0,0.023713,100.0
3.0,12.0,0.039274,100.0
3.0,12.0,0.024042,100.0
3.0,13.0,0.037506,100.0
3.0,12.0,0.035586,100.0
3.0,13.0,0.035606,100.0
3.0,12.0,0.038832,100.0
3.0,13.0,0.037037,100.0
3.0,12.0,0.023235,100.0
3.0,12.0,0.021886,100.0
3.0,12.0,0.040121,100.0
4.0,13.0,0.051007,100.0
4.0,14.0,0.055298,100.0
4.0,13.0,0.051603,100.0
4.0,12.0,0.053543,100.0
4.0,12.0,0.054573,100.0
4.0,12.0,0.049489,100.0
4.0,12.0,0.05368,100.0
4.0,12.0,0.050866,100.0
4.0,12.0,0.053477,100.0
4.0,13.0,0.048298,100.0
5.0,12.0,0.064242,100.0
5.0,12.0,0.059583,100.0
5.0,12.0,0.065209,100.0
5.0,13.0,0.039737,100.0
5.0,13.0,0.065405,100.0
5.0,14.0,0.066569,100.0
5.0,14.0,0.068707,100.0
5.0,13.0,0.064537,100.0
5.0,13.0,0.067492,100.0
5.0,12.0,0.063006,100.0
6.0,12.0,0.074922,100.0
6.0,12.0,0.077531,100.0
6.0,13.0,0.080183,100.0
6.0,13.0,0.079326,100.0
6.0,13.0,0.083293,100.0
6.0,13.0,0.079674,100.0
6.0,12.0,0.077722,100.0
6.0,12.0,0.049308,100.0
6.0,13.0,0.077668,100.0
6.0,13.0,0.048282,100.0
7.0,14.0,0.092149,100.0
7.0,13.0,0.088951,100.0
7.0,13.0,0.097414,100.0
7.0,14.0,0.086704,100.0
7.0,12.0,0.089809,100.0
7.0,13.0,0.083183,100.0
7.0,14.0,0.090483,100.0
7.0,13.0,0.093414,100.0
7.0,13.0,0.09252,100.0
7.0,14.0,0.097623,100.0
9.0,14.0,0.12093,100.0
9.0,13.0,0.127441,100.0
9.0,13.0,0.125651,100.0
9.0,14.0,0.119451,100.0
9.0,13.0,0.077551,100.0
9.0,13.0,0.120202,100.0
9.0,13.0,0.112631,100.0
9.0,13.0,0.120208,100.0
9.0,13.0,0.11667,100.0
9.0,14.0,0.122072,100.0
10.0,13.0,0.131178,100.0
10.0,14.0,0.140293,100.0
10.0,14.0,0.130111,100.0
10.0,13.0,0.134889,100.0
10.0,14.0,0.142201,100.0
10.0,13.0,0.085852,100.0
10.0,14.0,0.128778,100.0
10.0,14.0,0.131095,100.0
10.0,13.0,0.128091,100.0
10.0,13.0,0.137783,100.0
12.0,13.0,0.101668,100.0
12.0,14.0,0.169841,100.0
12.0,15.0,0.161064,100.0
12.0,13.0,0.157528,100.0
12.0,14.0,0.16855,100.0
12.0,14.0,0.152723,100.0
12.0,14.0,0.157936,100.0
12.0,14.0,0.152719,100.0
12.0,14.0,0.160246,100.0
12.0,15.0,0.161565,100.0
15.0,14.0,0.194475,100.0
15.0,15.0,0.200053,100.0
15.0,14.0,0.199068,100.0
15.0,15.0,0.194959,100.0
15.0,14.0,0.201688,100.0
15.0,14.0,0.131231,100.0
15.0,13.0,0.177625,100.0
15.0,14.0,0.21769,100.0
15.0,15.0,0.204018,100.0
15.0,15.0,0.199668,100.0
17.0,14.0,0.184989,100.0
17.0,14.0,0.245362,100.0
17.0,14.0,0.22848,100.0
17.0,15.0,0.232232,100.0
17.0,15.0,0.246665,100.0
17.0,14.0,0.236448,100.0
17.0,16.0,0.250795,100.0
17.0,15.0,0.227837,100.0
17.0,15.0,0.228684,100.0
17.0,13.0,0.236794,100.0
21.0,15.0,0.271926,100.0
21.0,15.0,0.178382,100.0
21.0,14.0,0.297714,100.0
21.0,15.0,0.297807,100.0
21.0,15.0,0.295782,100.0
21.0,14.0,0.298889,100.0
21.0,15.0,0.294986,100.0
21.0,14.0,0.30623,100.0
21.0,14.0,0.288439,100.0
21.0,15.0,0.296244,100.0
24.0,14.0,0.333764,100.0
24.0,15.0,0.354146,100.0
24.0,14.0,0.206135,100.0
24.0,15.0,0.346578,100.0
24.0,15.0,0.33104,100.0
24.0,15.0,0.346537,100.0
24.0,15.0,0.347562,100.0
24.0,14.0,0.216623,100.0
24.0,16.0,0.337721,100.0
24.0,15.0,0.334444,100.0
29.0,16.0,0.405235,100.0
29.0,16.0,0.406272,100.0
29.0,15.0,0.43519,100.0
29.0,15.0,0.422503,100.0
29.0,16.0,0.422715,100.0
29.0,16.0,0.40629,100.0
29.0,15.0,0.402614,100.0
29.0,15.0,0.398172,100.0
29.0,15.0,0.407027,100.0
29.0,15.0,0.435406,100.0
34.0,15.0,0.484611,100.0
34.0,15.0,0.294523,100.0
34.0,15.0,0.501985,100.0
